path	title	public_referrers	historical_referrers	total_referrers	classification	sample_public_referrers	sample_historical_referrers
docs/deepresearch/Backfill Production Gate.md	Backfill Production Gate	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/goals/2026-06-07-backfill-evidence-reconciliation-productization-goal.md	Backfill Evidence Reconciliation Productization Goal	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-18-shared-evidence-spine-adoption-decision.md	2026-05-18-shared-evidence-spine-adoption-decision	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md	Resolver Default Switch Real-Data Validation Note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-26-diagnostic-lifecycle-audit-note.md	2026-05-26-diagnostic-lifecycle-audit-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md	P2B Area Mismatch Triage Note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-26-p75-85raw-reentry-validation-note.md	2026-05-26-p75-85raw-reentry-validation-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md	P8b 85RAW Super-Window Acceptance Note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-26-p8b-owner-backfill-superwindow-investigation-note.md	2026-05-26-p8b-owner-backfill-superwindow-investigation-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-27-asls-minimal-closeout-note.md	2026-05-27-asls-minimal-closeout-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-28-handoff-productization-phase-closeout.md	Handoff Productization Phase Closeout	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md	Qualitative Selection Acceptance Gate Note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-05-28-tiered-backfill-machine-decision-implementation-note.md	2026-05-28-tiered-backfill-machine-decision-implementation-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-01-phase6b-final-retirement-go-note.md	2026-06-01-phase6b-final-retirement-go-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-01-phase7-linear-edge-deletion-note.md	2026-06-01-phase7-linear-edge-deletion-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-02-c4-c6-region-foundation-closeout.md	2026-06-02-c4-c6-region-foundation-closeout	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-04-chrom-peak-segment-overlay-evidence.md	2026-06-04-chrom-peak-segment-overlay-evidence	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-05-dual-system-and-retired-path-product-behavior-audit-note.md	2026-06-05-dual-system-and-retired-path-product-behavior-audit-note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md	Gaussian15 MS1 Morphology Production-Ready Closeout	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md	Gaussian15 MS1 Peak-Group NL Scope Production-Ready Closeout	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md	Replay Executor Validation Note	0	0	0	removal_candidate_no_repo_referrers	none	none
docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md	Backfill Auto-Write Ground-Truth Critical Review	0	0	0	removal_candidate_no_repo_referrers	none	none
