oracle_schema_version	oracle_row_id	feature_family_id	sample_id	manual_label	manual_label_source	manual_confidence	manual_scope	manual_scope_rule_id	manual_reason_tags	reviewed_eic	reviewed_ms2_pattern	reviewed_nl_or_product_pattern	reviewed_intensity_opportunity	dda_opportunity_basis	related_family_id	manual_review_note	manual_review_source	manual_reviewed_at
shared_peak_identity_manual_oracle_v1	FAM000144|BenignfatBC1151_DNA	FAM000144	BenignfatBC1151_DNA	pass	direct_eic_ms2_review	high	reviewed_cell		rt_close;single_plausible_peak;shape_complete;pattern_similar;low_intensity;dda_stochastic_missing	TRUE	TRUE	TRUE	TRUE	low_intensity_stochastic		FAM000144 accepted rescue: only plausible RT-region peak, complete shape, similar pattern; missing fragmentation is opportunity context.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000144|NormalBC2312_DNA	FAM000144	NormalBC2312_DNA	pass	direct_eic_ms2_review	high	reviewed_cell		rt_close;single_plausible_peak;shape_complete;pattern_similar;low_intensity;dda_stochastic_missing	TRUE	TRUE	TRUE	TRUE	low_intensity_stochastic		FAM000144 accepted rescue: only plausible RT-region peak, complete shape, similar pattern; missing fragmentation is opportunity context.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000144|TumorBC2312_DNA	FAM000144	TumorBC2312_DNA	fail	direct_eic_ms2_review	high	reviewed_cell		rt_too_far;pattern_mismatch;shape_normal	TRUE	TRUE	TRUE	FALSE	observed_conflict		FAM000144 rejected extra candidate: RT too far and pattern mismatch despite normal shape.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|BenignfatBC1055_DNA	FAM000610	BenignfatBC1055_DNA	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|BenignfatBC1151_DNA	FAM000610	BenignfatBC1151_DNA	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|Breast_Cancer_Tissue_pooled_QC3	FAM000610	Breast_Cancer_Tissue_pooled_QC3	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|Breast_Cancer_Tissue_pooled_QC5	FAM000610	Breast_Cancer_Tissue_pooled_QC5	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|NormalBC2263_DNA	FAM000610	NormalBC2263_DNA	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|NormalBC2312_DNA	FAM000610	NormalBC2312_DNA	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
shared_peak_identity_manual_oracle_v1	FAM000610|TumorBC2263_DNA	FAM000610	TumorBC2263_DNA	pass	family_all_reviewed_rule	high	reviewed_family_all_cells	fam000610_all_reviewed	rt_close;shape_complete;pattern_similar	TRUE	TRUE	TRUE	TRUE	observed		FAM000610 all reviewed current-8RAW cells should pass: RT close, shape OK, pattern similar.	user_chat_manual_eic_ms2	2026-05-29
